"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant"
"ZNF43",18.3982364770704,0.490334527768189,0.205097707369327,2.39073626934906,0.016814626361084,0.0330070247242966,TRUE
"DPYD",1149.33867771123,-0.272423512012761,0.113973053220746,-2.39024492469395,0.0168371402380772,0.0330464794634052,FALSE
"METTL13",292.44817611454,0.163772122508224,0.0685185445558766,2.39018682562161,0.0168398041411822,0.0330469686659335,FALSE
"ALG13",147.020877395537,0.233086635630415,0.0975253406376184,2.39001098695478,0.0168478687819741,0.0330580547885445,FALSE
"TMEM171",6.9663114832593,0.728183840746026,0.304731205781273,2.38959393370659,0.0168670100127713,0.0330907029034376,TRUE
"FZD3",20.4364459675588,0.630360625257463,0.263799644239331,2.38954312116347,0.0168693434281225,0.0330907029034376,TRUE
"RMND1",412.884901123647,0.14972900406361,0.0626780834921159,2.38885740790789,0.0169008604990464,0.0331477754069862,FALSE
"VTN",86929.0243595627,0.322102275243518,0.134855549211386,2.38849848691524,0.0169173779885999,0.0331754169869577,TRUE
"JOSD2",110.796492230012,0.653332261759415,0.273567412320719,2.38819476419756,0.0169313663273461,0.0331980916269424,TRUE
"HSD11B1L",34.3802840404532,0.363239590291483,0.152119583817703,2.38785553559483,0.016947001934702,0.0332239891818267,TRUE
"PPP1CB",764.145911187414,0.337962003287462,0.141557219318382,2.38745861860523,0.0169653125815185,0.0332455996550203,TRUE
"HNRNPAB",780.388921492116,0.26690977491879,0.111791834932105,2.38756055020382,0.0169606085983718,0.0332455996550203,FALSE
"GNAQ",673.806876478555,0.187413265788228,0.0784987696017202,2.38746755827012,0.0169648999842288,0.0332455996550203,FALSE
"CEBPZOS",337.542969850568,0.295902837023737,0.123998974291709,2.38633294117114,0.0170173370138301,0.033342773710992,FALSE
"TGFB1I1",65.1154419198354,-0.352472737365096,0.147753770115739,-2.38554141182993,0.0170540021968706,0.0334098302413929,TRUE
"CLGN",57.4550302415638,1.04245364239507,0.437008155725809,2.38543292324534,0.0170590329972504,0.0334149027623256,TRUE
"UBE2Q2",72.0764297333334,0.371646123179983,0.155813159228155,2.38520369538099,0.0170696669661335,0.0334309476385951,TRUE
"SLC20A1",268.457627629058,-0.347096999555514,0.145563552825476,-2.38450486277748,0.0171021219822191,0.0334897183357634,TRUE
"IPPK",41.8777505546718,0.295573821195031,0.123963364957309,2.38436429421564,0.0171086567700242,0.033497721967747,FALSE
"ZC3H12D",4.05398346639315,-0.886049861934002,0.371643181046749,-2.38414131382259,0.0171190272342183,0.0335132322596927,TRUE
"UQCRC1",4089.69680597366,-0.24532202408214,0.102916622734192,-2.38369679809397,0.017139717412169,0.033548937714952,FALSE
"HSD17B10",2542.43786444841,0.205427337831543,0.0861853274922583,2.38355348652584,0.0171463925863606,0.0335572041951854,FALSE
"VPS8",166.964794582416,-0.232305243531469,0.0974950571912917,-2.38273867644049,0.0171843882187472,0.033626756814666,FALSE
"SAR1B",2180.22897132277,0.155376323436179,0.0652119988197466,2.38263396688173,0.0171892763105658,0.0336315133075631,FALSE
"KIAA0930",707.922936354916,0.226944298889665,0.0952549871974582,2.38249256618157,0.0171958791679795,0.0336396229692635,FALSE
"TCP11L1",37.9879335705732,-0.33606604700223,0.141059917897667,-2.38243472710676,0.017198580666742,0.0336400993290025,TRUE
"AARS1",1642.72344067243,-0.240864337217933,0.101104178069868,-2.38233811713978,0.0172030938739384,0.0336441187137356,FALSE
"C1orf115",2115.07877959684,0.201935306449664,0.08476776376219,2.38221816274615,0.0172086990793266,0.0336502722674188,FALSE
"NOSTRIN",119.860863973692,-0.291390181310776,0.122350727519734,-2.38159745526463,0.0172377289767272,0.0337022226822126,FALSE
"PPP6C",629.643622058177,-0.169478777471441,0.0712010106961734,-2.38028611973832,0.017299200157936,0.0338175765407102,FALSE
"MRPL23",109.837248628251,0.532606084813973,0.223788825866975,2.37994941324982,0.0173150148593246,0.0338436580069574,TRUE
"ARMC1",308.202183825135,0.253518356131152,0.106534427223316,2.37968479053001,0.0173274527691718,0.0338631327429509,FALSE
"SLC25A19",30.5340567970222,0.411094983001938,0.172775304163984,2.3793619405917,0.017342638110435,0.0338879704710756,TRUE
"DCUN1D2",69.5877173294244,-0.367606741859542,0.154512701638873,-2.37913607075949,0.0173532689015394,0.0339039026675901,TRUE
"SLX4IP",73.7020759601914,-0.378856097399163,0.159273473367411,-2.37865156946267,0.0173760917211874,0.0339436470591165,TRUE
"IQCH",12.2747980272448,0.507746183117488,0.213628259305162,2.37677442473651,0.0174647648519638,0.034111998253743,TRUE
"PPFIBP2",464.693654592547,-0.206474617463429,0.0868825399883609,-2.37647998655529,0.0174787095490236,0.0341343634257901,FALSE
