"n_group","rho","confounding","selection_fraction","replicates","reference_replicates","method","rejection_rate","wilson_lower","wilson_upper","mcse","covers_nominal_0.05","mean_selected_n","median_statistic"
8,0.6,"none",0.75,500,499,"naive_fixed_set_gene_label",0.998,0.988759293294853,0.999646863605441,0.00199799899899875,FALSE,34.09,0.785587529770494
8,0.6,"none",0.75,500,499,"gene_label_complete_rule_replay",0.05,0.0340937452438494,0.0727681611715476,0.00974679434480896,TRUE,34.09,0.785587529770494
8,0.6,"none",0.75,500,499,"block_preserving_rule_replay",0.05,0.0340937452438494,0.0727681611715476,0.00974679434480896,TRUE,34.09,0.785587529770494
8,0.6,"none",0.75,500,499,"phenotype_complete_pipeline_MC",0.072,0.0524580314181262,0.0980684040169625,0.0115599307956406,FALSE,34.09,0.785587529770494
8,0.6,"none",0.9,500,499,"naive_fixed_set_gene_label",1,0.992375659538448,1,0,FALSE,49.198,0.703100870874302
8,0.6,"none",0.9,500,499,"gene_label_complete_rule_replay",0.082,0.0610190894684689,0.109354859157389,0.0122699633251286,FALSE,49.198,0.703100870874302
8,0.6,"none",0.9,500,499,"block_preserving_rule_replay",0.068,0.0490665074249069,0.0935209227338743,0.0112584190719657,TRUE,49.198,0.703100870874302
8,0.6,"none",0.9,500,499,"phenotype_complete_pipeline_MC",0.068,0.0490665074249069,0.0935209227338743,0.0112584190719657,TRUE,49.198,0.703100870874302
16,0.6,"none",0.1,500,499,"naive_fixed_set_gene_label",0.004,0.00109763052268279,0.014465715215177,0.00282276460230038,FALSE,0.56,0
16,0.6,"none",0.1,500,499,"gene_label_complete_rule_replay",0.004,0.00109763052268279,0.014465715215177,0.00282276460230038,FALSE,0.56,0
16,0.6,"none",0.1,500,499,"block_preserving_rule_replay",0.004,0.00109763052268279,0.014465715215177,0.00282276460230038,FALSE,0.56,0
16,0.6,"none",0.1,500,499,"phenotype_complete_pipeline_MC",0.004,0.00109763052268279,0.014465715215177,0.00282276460230038,FALSE,0.56,0
16,0.6,"none",0.25,500,499,"naive_fixed_set_gene_label",0.378,0.336580793539436,0.421279545533183,0.0216848334095515,FALSE,3.9,0
16,0.6,"none",0.25,500,499,"gene_label_complete_rule_replay",0.026,0.0152563839233272,0.0439714908342243,0.00711674082709213,FALSE,3.9,0
16,0.6,"none",0.25,500,499,"block_preserving_rule_replay",0.03,0.0182632131979134,0.0489036668359457,0.00762889244910426,FALSE,3.9,0
16,0.6,"none",0.25,500,499,"phenotype_complete_pipeline_MC",0.06,0.0423483564809462,0.0843610631252198,0.0106207344378814,TRUE,3.9,0
16,0.6,"none",0.5,500,499,"naive_fixed_set_gene_label",0.958,0.93664841424567,0.972367689891548,0.00897061870775924,FALSE,15.306,0.88019030823802
16,0.6,"none",0.5,500,499,"gene_label_complete_rule_replay",0.074,0.054161184751012,0.100334753322231,0.0117067501895274,FALSE,15.306,0.88019030823802
16,0.6,"none",0.5,500,499,"block_preserving_rule_replay",0.068,0.0490665074249069,0.0935209227338743,0.0112584190719657,TRUE,15.306,0.88019030823802
16,0.6,"none",0.5,500,499,"phenotype_complete_pipeline_MC",0.07,0.0507597429450181,0.0957971898519169,0.0114105214604767,FALSE,15.306,0.88019030823802
16,0.6,"none",0.75,500,499,"naive_fixed_set_gene_label",0.996,0.985534284784823,0.998902369477317,0.00282276460230038,FALSE,33.092,0.780352705636451
16,0.6,"none",0.75,500,499,"gene_label_complete_rule_replay",0.06,0.0423483564809462,0.0843610631252198,0.0106207344378814,TRUE,33.092,0.780352705636451
16,0.6,"none",0.75,500,499,"block_preserving_rule_replay",0.062,0.0440192091426816,0.0866597131016382,0.0107848041243223,TRUE,33.092,0.780352705636451
16,0.6,"none",0.75,500,499,"phenotype_complete_pipeline_MC",0.056,0.0390256206831515,0.0797447936467069,0.0102824121683582,TRUE,33.092,0.780352705636451
16,0.6,"none",0.9,500,499,"naive_fixed_set_gene_label",1,0.992375659538448,1,0,FALSE,49.338,0.696280510987396
16,0.6,"none",0.9,500,499,"gene_label_complete_rule_replay",0.058,0.0406837291117572,0.082056187856255,0.0104533248299285,TRUE,49.338,0.696280510987396
16,0.6,"none",0.9,500,499,"block_preserving_rule_replay",0.038,0.0244601180558304,0.0585847725306439,0.00855055553750749,TRUE,49.338,0.696280510987396
16,0.6,"none",0.9,500,499,"phenotype_complete_pipeline_MC",0.026,0.0152563839233272,0.0439714908342243,0.00711674082709213,FALSE,49.338,0.696280510987396
32,0.6,"none",0.1,500,499,"naive_fixed_set_gene_label",0,4.33680868994202e-19,0.00762434046155224,0,FALSE,0.54,0
32,0.6,"none",0.1,500,499,"gene_label_complete_rule_replay",0,4.33680868994202e-19,0.00762434046155224,0,FALSE,0.54,0
32,0.6,"none",0.1,500,499,"block_preserving_rule_replay",0,4.33680868994202e-19,0.00762434046155224,0,FALSE,0.54,0
32,0.6,"none",0.1,500,499,"phenotype_complete_pipeline_MC",0,4.33680868994202e-19,0.00762434046155224,0,FALSE,0.54,0
32,0.6,"none",0.25,500,499,"naive_fixed_set_gene_label",0.33,0.290217899729181,0.372374376027747,0.0210285520186246,FALSE,3.556,0
32,0.6,"none",0.25,500,499,"gene_label_complete_rule_replay",0.032,0.0197915136265711,0.0513448690454418,0.00787095928079926,TRUE,3.556,0
32,0.6,"none",0.25,500,499,"block_preserving_rule_replay",0.034,0.0213345198085322,0.0537713655016345,0.00810481338464989,TRUE,3.556,0
32,0.6,"none",0.25,500,499,"phenotype_complete_pipeline_MC",0.03,0.0182632131979134,0.0489036668359457,0.00762889244910426,FALSE,3.556,0
32,0.6,"none",0.5,500,499,"naive_fixed_set_gene_label",0.97,0.951096333164054,0.981736786802087,0.00762889244910426,FALSE,15.252,0.881547548837879
32,0.6,"none",0.5,500,499,"gene_label_complete_rule_replay",0.11,0.0854914151566031,0.140455570403408,0.0139928553197694,FALSE,15.252,0.881547548837879
32,0.6,"none",0.5,500,499,"block_preserving_rule_replay",0.064,0.0456960160447894,0.0889524088376842,0.0109456840809517,TRUE,15.252,0.881547548837879
32,0.6,"none",0.5,500,499,"phenotype_complete_pipeline_MC",0.078,0.0575813934761616,0.104853549873389,0.0119929979571415,FALSE,15.252,0.881547548837879
32,0.6,"none",0.75,500,499,"naive_fixed_set_gene_label",0.996,0.985534284784823,0.998902369477317,0.00282276460230038,FALSE,33.258,0.782493312407503
32,0.6,"none",0.75,500,499,"gene_label_complete_rule_replay",0.052,0.0357302651157053,0.0751011439378455,0.00992935043192655,TRUE,33.258,0.782493312407503
32,0.6,"none",0.75,500,499,"block_preserving_rule_replay",0.032,0.0197915136265711,0.0513448690454418,0.00787095928079926,TRUE,33.258,0.782493312407503
32,0.6,"none",0.75,500,499,"phenotype_complete_pipeline_MC",0.06,0.0423483564809462,0.0843610631252198,0.0106207344378814,TRUE,33.258,0.782493312407503
